AMD
2025-12-31	$0.92
2025-09-30	$0.75
2025-06-30	$0.54
2025-03-31	$0.44
2024-12-31	$0.30
2024-09-30	$0.47
2024-06-30	$0.16
2024-03-31	$0.07
2023-12-31	$0.42
2023-09-30	$0.18
2023-06-30	$0.02
2023-03-31	$-0.09
2022-12-31	$-0.03
2022-09-30	$0.04
2022-06-30	$0.27
2022-03-31	$0.56
2021-12-31	$0.79
2021-09-30	$0.75
2021-06-30	$0.58
2021-03-31	$0.45
2020-12-31	$1.47
2020-09-30	$0.32
2020-06-30	$0.13
2020-03-31	$0.14
2019-12-31	$0.15
2019-09-30	$0.11
2019-06-30	$0.03
2019-03-31	$0.01
2018-12-31	$0.04
2018-09-30	$0.09
2018-06-30	$0.11
2018-03-31	$0.08
2017-12-31	$-0.01
2017-09-30	$0.06
2017-06-30	$-0.04
2017-03-31	$-0.04
2016-12-31	$-0.04
2016-09-30	$-0.50
2016-06-30	$0.08
2016-03-31	$-0.14
2015-12-31	$-0.13
2015-09-30	$-0.25
2015-06-30	$-0.23
2015-03-31	$-0.23
2014-12-31	$-0.47
2014-09-30	$0.02
2014-06-30	$-0.05
2014-03-31	$-0.03
2013-12-31	$0.12
2013-09-30	$0.06
2013-06-30	$-0.10
2013-03-31	$-0.19
2012-12-31	$-0.64
2012-09-30	$-0.21
2012-06-30	$0.05
2012-03-31	$-0.80
2011-12-31	$-0.23
2011-09-30	$0.13
2011-06-30	$0.08
2011-03-31	$0.68
2010-12-31	$0.52
2010-09-30	$-0.17
2010-06-30	$-0.06
2010-03-31	$0.35
2009-12-31	$1.78
2009-09-30	$-0.18
2009-06-30	$-0.49
2009-03-31	$-0.66
END
GOOG
2025-12-31	$2.82
2025-09-30	$2.87
2025-06-30	$2.31
2025-03-31	$2.81
2024-12-31	$2.14
2024-09-30	$2.12
2024-06-30	$1.89
2024-03-31	$1.89
2023-12-31	$1.64
2023-09-30	$1.55
2023-06-30	$1.44
2023-03-31	$1.17
2022-12-31	$1.14
2022-09-30	$1.06
2022-06-30	$1.13
2022-03-31	$1.23
2021-12-31	$1.54
2021-09-30	$1.40
2021-06-30	$1.36
2021-03-31	$1.32
2020-12-31	$1.11
2020-09-30	$0.82
2020-06-30	$0.51
2020-03-31	$0.49
2019-12-31	$0.77
2019-09-30	$0.51
2019-06-30	$0.71
2019-03-31	$0.48
2018-12-31	$0.64
2018-09-30	$0.65
2018-06-30	$0.23
2018-03-31	$0.67
2017-12-31	$-0.22
2017-09-30	$0.48
2017-06-30	$0.25
2017-03-31	$0.39
2016-12-31	$0.38
2016-09-30	$0.36
2016-06-30	$0.35
2016-03-31	$0.30
2015-12-31	$0.37
2015-09-30	$0.27
2015-06-30	$0.25
2015-03-31	$0.26
2014-12-31	$0.33
2014-09-30	$0.20
2014-06-30	$0.24
2014-03-31	$0.25
2013-12-31	$0.23
2013-09-30	$0.22
2013-06-30	$0.24
2013-03-31	$0.25
2012-12-31	$0.22
2012-09-30	$0.16
2012-06-30	$0.21
2012-03-31	$0.22
2011-12-31	$0.21
2011-09-30	$0.21
2011-06-30	$0.19
2011-03-31	$0.14

END
TSLA
2025-12-31	$0.50
2025-09-30	$0.39
2025-06-30	$0.33
2025-03-31	$0.12
2024-12-31	$0.61
